day,month,year,first,3digit,last_2digit_top,first_3digit_1,first_3digit_2,last_3digit_1,last_3digit_2,last_2digit_down
16,11,2554,997777,777,77,406,425,551,993,57
1,11,2554,805540,540,40,65,221,380,771,54
16,10,2554,955756,756,56,57,329,507,991,83
1,10,2554,511052,52,52,104,189,499,957,15
16,9,2554,731198,198,98,384,589,645,812,28
1,9,2554,724533,533,33,21,533,821,847,85
16,8,2554,536960,960,60,5,74,345,814,62
1,8,2554,218756,756,56,221,583,660,703,12
16,7,2554,116556,556,56,52,227,534,609,12
1,7,2554,622953,953,53,160,390,463,780,51
16,6,2554,351276,276,76,162,167,486,582,88
1,6,2554,562370,370,70,346,556,656,801,46
16,5,2554,406417,417,17,44,71,700,889,5
2,5,2554,54136,136,36,133,421,524,945,85
16,4,2554,825988,988,88,213,263,397,593,44
1,4,2554,814931,931,31,36,40,584,723,1
16,3,2554,593331,331,31,209,463,737,945,96
1,3,2554,656037,37,37,357,396,544,926,97
16,2,2554,481746,746,46,384,388,510,535,27
1,2,2554,610089,89,89,121,361,432,596,55
16,1,2554,281062,62,62,185,227,546,758,23
30,12,2553,884112,112,12,153,186,933,936,49
16,12,2553,334380,380,80,306,315,529,533,24
1,12,2553,181752,752,52,86,470,474,664,9
16,11,2553,813993,993,93,129,763,907,979,43
1,11,2553,191100,100,0,653,739,801,968,59
16,10,2553,621377,377,77,310,385,518,872,42
1,10,2553,488372,372,72,3,91,246,996,2
16,9,2553,17422,422,22,75,103,316,431,66
1,9,2553,354656,656,56,96,570,656,784,11
16,8,2553,911097,97,97,448,578,689,986,64
1,8,2553,210008,8,8,182,191,727,769,10
16,7,2553,180387,387,87,24,219,309,572,34
1,7,2553,480239,239,39,450,893,918,961,68
16,6,2553,500104,104,4,200,628,681,816,73
1,6,2553,444874,874,74,298,374,673,996,81
16,5,2553,480012,12,12,8,151,293,770,12
2,5,2553,360371,371,71,40,382,517,618,6
16,4,2553,211743,743,43,154,285,744,811,96
1,4,2553,959517,517,17,40,174,447,663,22
16,3,2553,364222,222,22,229,619,756,996,97
1,3,2553,215227,227,27,374,457,470,627,97
16,2,2553,133707,707,7,26,137,362,985,3
1,2,2553,186312,312,12,403,577,694,936,14
16,1,2553,73577,577,77,413,459,646,781,67
30,12,2552,994304,304,4,337,419,598,993,87
16,12,2552,685141,141,41,142,524,694,775,5
1,12,2552,776980,980,80,188,252,412,937,59
16,11,2552,55986,986,86,72,299,536,952,58
1,11,2552,689140,140,40,366,465,642,923,85
16,10,2552,258487,487,87,122,135,174,226,0
1,10,2552,169387,387,87,249,255,435,714,6
16,9,2552,202912,912,12,166,200,353,539,48
1,9,2552,15865,865,65,435,446,447,924,32
16,8,2552,462933,933,33,292,577,658,843,96
1,8,2552,154986,986,86,239,374,421,688,92
16,7,2552,816,816,16,5,177,356,836,94
1,7,2552,207542,542,42,107,233,385,799,66
16,6,2552,930456,456,56,44,125,179,954,15
1,6,2552,777661,661,61,97,240,242,642,26
16,5,2552,111411,411,11,362,368,838,892,54
2,5,2552,294452,452,52,222,301,549,947,11
16,4,2552,368415,415,15,7,179,570,954,33
1,4,2552,816578,578,78,44,113,363,572,50
16,3,2552,268812,812,12,63,228,424,929,36
1,3,2552,553091,91,91,224,238,295,665,67
16,2,2552,38730,730,30,115,434,939,961,93
1,2,2552,534533,533,33,15,427,660,777,69
16,1,2552,743212,212,12,266,800,842,885,25
30,12,2551,218596,596,96,94,197,831,984,22
16,12,2551,74114,114,14,305,715,803,959,25
1,12,2551,205434,434,34,13,260,617,957,5
16,11,2551,2612,612,12,68,589,824,877,20
1,11,2551,272028,28,28,285,333,421,929,76
16,10,2551,431277,277,77,324,526,644,648,98
1,10,2551,882911,911,11,204,302,311,395,67
16,9,2551,12377,377,77,378,534,557,691,56
1,9,2551,695993,993,93,27,206,413,904,9
16,8,2551,380377,377,77,161,445,457,744,36
1,8,2551,850348,348,48,236,386,408,913,11
16,7,2551,257374,374,74,344,401,486,576,41
1,7,2551,943671,671,71,96,287,490,523,50
16,6,2551,729111,111,11,339,345,639,870,75
1,6,2551,414875,875,75,370,666,747,916,35
16,5,2551,329231,231,31,120,193,214,355,69
2,5,2551,453011,11,11,1,1,133,792,62
16,4,2551,982800,800,0,8,43,584,802,64
1,4,2551,12653,653,53,124,195,200,586,71
16,3,2551,74946,946,46,77,85,158,974,33
1,3,2551,936685,685,85,56,85,371,691,5
16,2,2551,137054,54,54,344,512,630,892,80
1,2,2551,212684,684,84,311,472,732,796,26
16,1,2551,556010,10,10,413,942,548,965,81
30,12,2550,595411,411,11,267,490,741,787,81
16,12,2550,513501,501,1,432,460,425,702,96
1,12,2550,113410,410,10,418,485,627,659,18
16,11,2550,562481,481,81,130,198,752,844,73
1,11,2550,927907,907,7,648,277,213,524,88
16,10,2550,32988,988,88,158,663,685,846,48
1,10,2550,430667,667,67,90,104,126,667,76
16,9,2550,499336,336,36,247,273,604,608,45
1,9,2550,331810,810,10,293,505,518,520,69
16,8,2550,476207,207,7,236,234,424,312,93
1,8,2550,429924,924,24,6,885,962,48,29
16,7,2550,527384,384,84,334,183,105,947,77
1,7,2550,565151,151,51,949,287,638,146,76
16,6,2550,393194,194,94,989,907,424,589,41
1,6,2550,836393,393,93,739,242,523,433,5
16,5,2550,232897,897,97,924,858,751,585,25
2,5,2550,430374,374,74,553,442,881,729,81
16,4,2550,405105,105,5,13,987,866,522,63
1,4,2550,622780,780,80,677,794,814,22,93
16,3,2550,876763,763,63,191,1,906,350,85
1,3,2550,742425,425,25,949,294,942,801,61
16,2,2550,277859,859,59,625,607,979,384,95
1,2,2550,769925,925,25,893,239,287,865,56
16,1,2550,838739,739,39,293,263,845,803,55
30,12,2549,778584,584,84,811,403,164,971,7
16,12,2549,147977,977,77,439,694,647,197,45
1,12,2549,270052,52,52,621,462,91,236,12
16,11,2549,562856,856,56,508,307,680,347,94
1,11,2549,910957,957,57,647,739,137,905,29
16,10,2549,264825,825,25,903,92,358,832,58
1,10,2549,952335,335,35,7,804,879,951,92
16,9,2549,217948,948,48,916,290,864,121,41
1,9,2549,381761,761,61,600,693,93,626,44
16,8,2549,977486,486,86,221,305,230,103,91
1,8,2549,238654,654,54,847,5,817,487,88
16,7,2549,512434,434,34,989,98,518,432,48
1,7,2549,952890,890,90,126,183,17,839,65
16,6,2549,100935,935,35,381,410,595,250,17
1,6,2549,810850,850,50,526,149,382,664,99
16,5,2549,100344,344,44,386,463,811,696,71
2,5,2549,24554,554,54,6,438,82,117,27
16,4,2549,38564,564,64,210,442,769,877,49
1,4,2549,738365,365,65,64,955,301,522,95
16,3,2549,936177,177,77,486,185,205,320,30
1,3,2549,582473,473,73,586,801,108,914,43
16,2,2549,317009,9,9,784,240,135,280,66
1,2,2549,412729,729,29,915,720,149,384,87
16,1,2549,432747,747,47,200,222,789,965,79
